개표진행상황(투표구별),,,,,,,,,,,,,
,,,,,,,,,,,,,
[제18대 대통령선거],,,,,,,,,,,,,
시도명,구시군명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,,"무효
투표수",기권수
,,,,,"새누리당
박근혜","민주통합당
문재인","무소속
박종선","무소속
김소연","무소속
강지원","무소속
김순자",계,,
전국,합계,,"40,507,842","30,721,459","15,773,128","14,692,632","12,854","16,687","53,303","46,017","30,594,621","126,838","9,786,383"
서울특별시,합계,,"8,393,847","6,307,869","3,024,572","3,227,639","3,559","3,793","11,829","5,307","6,276,699","31,170","2,085,978"
서울특별시,종로구,청운효자동제1투,"3,596","2,631","1,302","1,307",1,4,8,1,"2,623",8,965
서울특별시,종로구,청운효자동제2투,"4,068","3,159","1,576","1,556",3,3,4,2,"3,144",15,909
서울특별시,종로구,청운효자동제3투,"3,941","3,117","1,355","1,735",0,3,6,1,"3,100",17,824
서울특별시,종로구,사직동제1투,"3,799","2,637","1,272","1,346",2,2,4,1,"2,627",10,"1,162"
서울특별시,종로구,사직동제2투,"4,543","3,403","2,176","1,205",2,3,6,1,"3,393",10,"1,140"
서울특별시,종로구,삼청동투표소,"2,767","2,032","1,099",909,0,1,9,2,"2,020",12,735
서울특별시,종로구,부암동제1투,"3,500","2,460","1,200","1,239",1,2,4,1,"2,447",13,"1,040"
서울특별시,종로구,부암동제2투,"2,731","2,162","1,086","1,058",2,3,3,2,"2,154",8,569
서울특별시,종로구,부암동제3투,"2,666","2,066","1,095",959,0,1,2,0,"2,057",9,600
서울특별시,종로구,평창동제1투,"3,113","2,222","1,291",910,0,3,10,1,"2,215",7,891
서울특별시,종로구,평창동제2투,"4,605","3,448","2,188","1,230",1,3,8,1,"3,431",17,"1,157"
서울특별시,종로구,평창동제3투,"2,516","1,912","1,134",761,0,1,6,1,"1,903",9,604
서울특별시,종로구,평창동제4투,"2,498","2,010","1,110",889,0,0,4,2,"2,005",5,488
서울특별시,종로구,평창동제5투,"2,843","2,161","1,235",910,0,1,3,2,"2,151",10,682
서울특별시,종로구,무악동제1투,"2,358","1,921",950,956,0,1,2,3,"1,912",9,437
서울특별시,종로구,무악동제2투,"4,231","3,196","1,552","1,612",2,0,10,1,"3,177",19,"1,035"
서울특별시,종로구,교남동제1투,"4,349","2,967","1,360","1,575",3,7,2,7,"2,954",13,"1,382"
서울특별시,종로구,교남동제2투,"3,065","2,133","1,024","1,090",1,1,4,1,"2,121",12,932
서울특별시,종로구,가회동투표소,"4,476","3,403","1,665","1,705",1,3,7,9,"3,390",13,"1,073"
서울특별시,종로구,종로1·2·3·4가동제1투,"3,949","2,073","1,205",842,4,1,5,2,"2,059",14,"1,876"
서울특별시,종로구,종로1·2·3·4가동제2투,"3,321","2,367","1,227","1,115",3,3,5,2,"2,355",12,954
서울특별시,종로구,종로5·6가동제1투,"2,410","1,577",821,747,0,2,4,0,"1,574",3,833
서울특별시,종로구,종로5·6가동제2투,"2,803","1,997",894,"1,097",2,0,0,1,"1,994",3,806
서울특별시,종로구,이화동제1투,"3,950","3,016","1,204","1,786",3,2,3,2,"3,000",16,934
서울특별시,종로구,이화동제2투,"3,747","2,592","1,114","1,458",2,3,6,2,"2,585",7,"1,155"
서울특별시,종로구,혜화동제1투,"3,537","2,783","1,143","1,617",2,2,5,2,"2,771",12,754
서울특별시,종로구,혜화동제2투,"3,081","2,317",986,"1,308",2,0,6,1,"2,303",14,764
서울특별시,종로구,혜화동제3투,"3,217","2,487","1,157","1,304",1,5,5,3,"2,475",12,730
서울특별시,종로구,혜화동제4투,"2,866","2,138",716,"1,394",0,4,10,3,"2,127",11,728
서울특별시,종로구,혜화동제5투,"2,553","1,917",780,"1,105",1,4,7,4,"1,901",16,636
서울특별시,종로구,창신제1동제1투,"1,924",998,496,487,2,0,5,2,992,6,926
서울특별시,종로구,창신제1동제2투,"3,741","2,682","1,123","1,531",5,1,7,3,"2,670",12,"1,059"
서울특별시,종로구,창신제2동제1투,"2,555","1,625",658,948,0,2,7,0,"1,615",10,930
서울특별시,종로구,창신제2동제2투,"3,296","2,403","1,000","1,378",3,0,1,1,"2,383",20,893
서울특별시,종로구,창신제2동제3투,"3,399","2,407",890,"1,485",5,2,3,4,"2,389",18,992
서울특별시,종로구,창신제3동제1투,"2,583","1,811",723,"1,058",2,1,2,1,"1,787",24,772
서울특별시,종로구,창신제3동제2투,"4,037","3,209","1,411","1,780",3,2,5,2,"3,203",6,828
서울특별시,종로구,숭인제1동제1투,"3,398","2,229","1,037","1,178",1,1,1,4,"2,222",7,"1,169"
서울특별시,종로구,숭인제1동제2투,"2,653","2,032",840,"1,165",3,1,4,3,"2,016",16,621
서울특별시,종로구,숭인제2동제1투,"1,763","1,136",555,567,1,0,1,1,"1,125",11,627
서울특별시,종로구,숭인제2동제2투,"3,407","2,199",965,"1,209",3,3,3,2,"2,185",14,"1,208"
서울특별시,종로구,숭인제2동제3투,"2,765","2,017",842,"1,151",3,2,3,0,"2,001",16,748
서울특별시,중구,소공동제1투,540,327,145,178,1,1,0,1,326,1,213
서울특별시,중구,소공동제2투,613,455,230,221,1,0,2,1,455,0,158
서울특별시,중구,회현동제1투,"4,043","2,520","1,467","1,027",2,3,1,2,"2,502",18,"1,523"
서울특별시,중구,회현동제2투,"1,219",684,405,268,1,0,1,2,677,7,535
서울특별시,중구,명동제1투,"2,689","1,796",904,876,2,0,3,2,"1,787",9,893
