시도명,구시군명,읍면동명,선거인수,투표수,후보자별 득표수,,,,,,"무효
투표수",기권수,계
,,,,,"새누리당
박근혜","민주통합당
문재인","무소속
박종선","무소속
김소연","무소속
강지원","무소속
김순자",,,
서울특별시,마포구,공덕동,"29,982","22,271","10,047","12,017",20,10,48,19,110,"7,711","29,982"
서울특별시,마포구,아현동,"15,662","11,644","5,789","5,751",3,8,25,14,54,"4,018","15,662"
서울특별시,마포구,도화동,"18,751","14,717","7,419","7,168",2,14,32,19,63,"4,034","18,751"
서울특별시,마포구,용강동,"14,976","11,797","5,707","5,983",7,6,28,8,58,"3,179","14,976"
서울특별시,마포구,대흥동,"12,597","8,686","3,654","4,942",3,5,14,13,55,"3,911","12,597"
서울특별시,마포구,염리동,"14,463","10,453","4,715","5,640",6,6,21,7,58,"4,010","14,463"
서울특별시,마포구,신수동,"17,486","13,628","6,416","7,098",4,16,26,14,54,"3,858","17,486"
서울특별시,마포구,서강동,"20,526","15,848","6,876","8,841",6,17,33,23,52,"4,678","20,526"
서울특별시,마포구,서교동,"24,690","18,013","7,177","10,673",10,27,29,25,72,"6,677","24,690"
서울특별시,마포구,합정동,"16,726","12,547","5,346","7,086",3,25,21,7,59,"4,179","16,726"
서울특별시,마포구,망원1동,"19,700","14,473","5,934","8,418",2,20,16,8,75,"5,227","19,700"
서울특별시,마포구,망원2동,"16,658","12,915","5,318","7,487",14,7,21,12,56,"3,743","16,658"
서울특별시,마포구,연남동,"16,216","12,037","5,063","6,863",9,15,19,11,57,"4,179","16,216"
서울특별시,마포구,성산1동,"17,005","12,659","5,318","7,215",8,22,28,13,55,"4,346","17,005"
서울특별시,마포구,성산2동,"31,161","24,367","10,417","13,745",5,21,35,33,111,"6,794","31,161"
서울특별시,마포구,상암동,"23,728","19,014","8,231","10,634",6,17,42,13,71,"4,714","23,728"
서울특별시,양천구,목1동,"23,704","19,060","9,983","8,945",2,11,43,9,67,"4,644","23,704"
서울특별시,양천구,목2동,"24,994","18,907","8,520","10,241",8,10,35,16,77,"6,087","24,994"
서울특별시,양천구,목3동,"18,549","13,894","6,712","7,047",6,9,30,11,79,"4,655","18,549"
서울특별시,양천구,목4동,"20,831","15,871","7,372","8,389",9,3,26,14,58,"4,960","20,831"
서울특별시,양천구,목5동,"32,192","26,432","14,786","11,466",7,10,71,18,74,"5,760","32,192"
서울특별시,양천구,신월1동,"19,962","13,757","6,165","7,475",12,6,20,14,65,"6,205","19,962"
서울특별시,양천구,신월2동,"16,610","12,369","5,632","6,634",7,8,18,6,64,"4,241","16,610"
서울특별시,양천구,신월3동,"14,454","9,695","4,358","5,232",8,6,18,13,60,"4,759","14,454"
서울특별시,양천구,신월4동,"14,846","11,485","5,085","6,307",6,7,23,3,54,"3,361","14,846"
서울특별시,양천구,신월5동,"12,660","9,138","4,149","4,910",8,4,12,11,44,"3,522","12,660"
서울특별시,양천구,신월6동,"10,519","7,563","3,537","3,959",6,4,12,6,39,"2,956","10,519"
서울특별시,양천구,신월7동,"19,892","14,779","6,698","7,975",8,13,19,7,59,"5,113","19,892"
서울특별시,양천구,신정1동,"14,295","11,416","5,931","5,399",9,2,18,4,53,"2,879","14,295"
서울특별시,양천구,신정2동,"16,616","12,858","6,014","6,728",4,6,30,21,55,"3,758","16,616"
서울특별시,양천구,신정3동,"43,074","32,922","14,355","18,293",20,16,68,28,142,"10,152","43,074"
서울특별시,양천구,신정4동,"30,337","22,356","9,746","12,466",14,6,25,11,88,"7,981","30,337"
서울특별시,양천구,신정6동,"19,222","16,005","8,251","7,653",2,4,41,6,48,"3,217","19,222"
서울특별시,양천구,신정7동,"25,186","19,516","9,563","9,786",16,13,43,19,76,"5,670","25,186"
서울특별시,강서구,염창동,"31,220","25,367","11,442","13,743",4,11,62,19,86,"5,853","31,220"
서울특별시,강서구,등촌제1동,"17,797","13,652","6,103","7,467",6,7,21,8,40,"4,145","17,797"
서울특별시,강서구,등촌제2동,"17,527","13,622","6,754","6,769",12,8,25,4,50,"3,905","17,527"
서울특별시,강서구,등촌제3동,"29,630","22,770","10,559","11,963",17,19,48,26,138,"6,860","29,630"
서울특별시,강서구,화곡본동,"29,005","20,382","8,349","11,896",12,11,29,12,73,"8,623","29,005"
서울특별시,강서구,화곡제1동,"42,593","30,305","13,174","16,904",16,16,47,21,127,"12,288","42,593"
서울특별시,강서구,화곡제2동,"16,081","11,474","4,955","6,442",6,4,15,6,46,"4,607","16,081"
서울특별시,강서구,화곡제3동,"19,551","15,280","7,764","7,424",5,6,23,10,48,"4,271","19,551"
서울특별시,강서구,화곡제4동,"18,618","13,198","5,837","7,257",6,8,26,6,58,"5,420","18,618"
서울특별시,강서구,화곡제6동,"20,136","14,994","7,585","7,283",3,5,30,10,78,"5,142","20,136"
서울특별시,강서구,화곡제8동,"22,246","16,290","6,662","9,522",2,16,20,14,54,"5,956","22,246"
서울특별시,강서구,우장산동,"29,969","23,293","11,194","11,937",11,7,37,15,92,"6,676","29,969"
서울특별시,강서구,가양제1동,"15,917","12,590","6,029","6,464",5,1,27,11,53,"3,327","15,917"
서울특별시,강서구,가양제2동,"15,501","11,589","5,779","5,668",11,9,19,18,85,"3,912","15,501"
서울특별시,강서구,가양제3동,"15,426","11,746","5,428","6,192",12,9,19,13,73,"3,680","15,426"
서울특별시,강서구,발산제1동,"23,810","18,733","8,273","10,312",9,8,31,18,82,"5,077","23,810"
서울특별시,강서구,공항동,"17,526","12,039","5,813","6,130",6,6,23,13,48,"5,487","17,526"
서울특별시,강서구,방화제1동,"24,210","18,381","9,067","9,183",6,8,24,14,79,"5,829","24,210"
서울특별시,강서구,방화제2동,"21,292","15,533","7,934","7,461",12,8,25,23,70,"5,759","21,292"
서울특별시,강서구,방화제3동,"22,282","17,171","8,248","8,768",5,7,35,21,87,"5,111","22,282"
