,행정구역별(시군구),1975 ,1980 ,1985 ,1990 ,1995 ,2000 ,2005 ,2010 
서울특별시,종로구,347759 ,292483 ,265897 ,243331 ,190283 ,170118 ,156018 ,155575 
서울특별시,중구,284832 ,242584 ,209658 ,188118 ,135583 ,135173 ,128443 ,121144 
서울특별시,용산구,336510 ,333525 ,326076 ,303022 ,253841 ,231484 ,217708 ,227400 
서울특별시,성동구,414964 ,404579 ,410998 ,414626 ,334464 ,325251 ,327566 ,296135 
서울특별시,광진구,214575 ,283128 ,340420 ,384413 ,382269 ,381568 ,366746 ,368021 
서울특별시,동대문구,460366 ,471633 ,529368 ,503394 ,415709 ,367596 ,373232 ,346770 
서울특별시,중랑구,277865 ,376448 ,413249 ,448390 ,439931 ,440863 ,413760 ,403105 
서울특별시,성북구,604732 ,588759 ,583791 ,551540 ,490310 ,460511 ,442426 ,457570 
서울특별시,강북구,333441 ,348449 ,354144 ,365954 ,390046 ,340765 ,339147 ,324413 
서울특별시,도봉구,128065 ,182595 ,219113 ,305841 ,356037 ,352702 ,368716 ,348625 
서울특별시,노원구,170100 ,222258 ,273715 ,480004 ,569392 ,606394 ,604161 ,587248 
서울특별시,은평구,334368 ,382891 ,441939 ,469891 ,485287 ,442604 ,447611 ,450583 
서울특별시,서대문구,447754 ,419541 ,404582 ,387089 ,359873 ,351625 ,343593 ,313814 
서울특별시,마포구,422494 ,432814 ,441810 ,435630 ,386042 ,367220 ,373057 ,369432 
서울특별시,양천구,102331 ,229493 ,317799 ,490500 ,460655 ,459643 ,474247 ,469434 
서울특별시,강서구,175206 ,271689 ,356471 ,391139 ,503063 ,504480 ,538997 ,546938 
서울특별시,구로구,227108 ,335698 ,384543 ,431073 ,365039 ,392541 ,406299 ,417339 
서울특별시,금천구,147500 ,233039 ,299425 ,316999 ,284997 ,268586 ,252446 ,242510 
서울특별시,영등포구,398756 ,431992 ,446600 ,470109 ,413952 ,390035 ,398251 ,396243 
서울특별시,동작구,366580 ,392916 ,405979 ,403724 ,422468 ,401133 ,409519 ,397317 
서울특별시,관악구,357463 ,501624 ,556156 ,574255 ,548318 ,505036 ,530833 ,520849 
서울특별시,서초구,45875 ,238132 ,331748 ,395699 ,384830 ,368339 ,372795 ,393270 
서울특별시,강남구,71080 ,236748 ,439457 ,491062 ,534724 ,523350 ,510221 ,527641 
서울특별시,송파구,121657 ,276027 ,444318 ,634338 ,636845 ,633956 ,579040 ,646970 
서울특별시,강동구,98059 ,235334 ,441854 ,532436 ,487259 ,474244 ,445339 ,465958 
부산광역시,중구,111847 ,98525 ,91079 ,77362 ,63658 ,58297 ,52446 ,48197 
부산광역시,서구,236403 ,235165 ,212270 ,203499 ,174707 ,147969 ,133014 ,116600 
부산광역시,동구,230704 ,217585 ,197223 ,184350 ,152376 ,122087 ,103658 ,93976 
부산광역시,영도구,216342 ,213215 ,210358 ,204557 ,206133 ,177899 ,158117 ,139723 
부산광역시,부산진구,467252 ,506161 ,517568 ,515019 ,453022 ,416372 ,399162 ,380395 
부산광역시,동래구,145558 ,241801 ,305883 ,333773 ,311620 ,289388 ,261982 ,266147 
부산광역시,남구,257397 ,303403 ,329990 ,339225 ,311778 ,289747 ,294034 ,293900 
부산광역시,북구,35995 ,86986 ,148679 ,195835 ,278202 ,298646 ,329336 ,302141 
부산광역시,해운대구,140612 ,196807 ,224588 ,250686 ,301582 ,396505 ,393718 ,410084 
부산광역시,사하구,132167 ,208847 ,271181 ,342738 ,381319 ,375398 ,360007 ,343324 
부산광역시,금정구,131735 ,226045 ,272723 ,318833 ,307825 ,284414 ,259168 ,247333 
부산광역시,강서구,68362 ,70219 ,70191 ,79260 ,66567 ,53730 ,46638 ,54347 
부산광역시,연제구,152824 ,209230 ,246230 ,262783 ,245593 ,215321 ,211799 ,202943 
부산광역시,수영구,95269 ,164529 ,198600 ,208901 ,195561 ,175478 ,172673 ,169814 
