"By country","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"ASIA","","","","","","","","","","","","","","","","","","","","","","","","",""
"Korea, Rep. of","9.8","10.4","6.2","6.8","9.2","9.6","7.6","5.9","-5.5","11.3","8.9","4.5","7.4","2.9","4.9","3.9","5.2","5.5","2.8","0.7","6.5","3.7","2.3","2.9","3.3"
"Afghanistan","-","-","-","-","-","-","-","-","-","-","-","-","-","8.4","1.1","11.2","5.6","13.7","3.6","21.0","8.4","6.1","14.4","4.2","-"
"Armenia","-","-11.7","-41.8","-8.8","5.4","6.9","5.9","3.3","7.3","3.3","5.9","9.6","13.2","14.0","10.5","13.9","13.2","13.7","6.9","-14.1","2.2","4.7","7.2","3.5","-"
"Azerbaijan","-","-0.7","-22.6","-23.1","-19.7","-11.8","1.3","5.8","10.0","7.4","11.1","9.9","10.6","11.2","10.2","26.4","34.5","25.0","10.8","9.4","4.9","0.1","2.2","5.8","-"
"Bahrain","4.4","11.2","6.7","12.9","-0.3","3.9","4.1","3.1","4.8","4.3","5.3","2.5","3.6","6.0","7.0","6.8","6.5","8.3","6.2","2.5","4.3","2.1","3.4","5.5","-"
"Bangladesh","5.9","3.3","5.0","4.6","4.1","4.9","4.6","5.4","5.2","4.9","5.9","5.3","4.4","5.3","6.3","6.0","6.6","6.4","6.2","5.7","6.1","6.7","6.2","6.0","-"
"Bhutan","10.9","-0.4","4.6","2.0","5.0","7.1","5.6","5.4","5.9","8.0","6.9","8.2","10.7","7.7","5.9","7.1","6.8","17.9","4.8","6.7","11.7","8.6","4.6","5.0","-"
"Brunei Darussalam","1.1","3.1","4.8","0.3","3.1","4.5","2.9","-1.5","-0.6","3.1","2.8","2.7","3.9","2.9","0.5","0.4","4.4","0.2","-1.9","-1.8","2.6","3.4","0.9","-1.8","-"
"Cambodia","-","-","-","-","9.1","6.4","5.4","5.6","5.0","11.9","8.8","8.0","6.7","8.5","10.3","13.3","10.8","10.2","6.7","0.1","6.0","7.1","7.3","7.5","-"
"China","4.1","3.8","9.2","14.2","14.0","13.1","10.9","10.0","9.3","7.8","7.6","8.3","9.1","10.0","10.1","11.3","12.7","14.2","9.6","9.2","10.4","9.3","7.7","7.7","-"
"Cyprus","7.4","0.7","9.4","0.7","5.9","6.1","1.8","2.3","5.0","4.8","5.0","4.0","2.1","1.9","4.2","3.9","4.1","5.1","3.6","-1.7","1.3","0.4","-2.4","-","-"
"Timor-Leste","-","-","-","-","-","-","-","-","-","-","13.7","16.3","-6.7","-2.2","0.4","6.5","-3.2","11.6","14.6","12.8","9.5","12.0","8.3","8.1","-"
"Georgia","-14.8","-21.1","-44.9","-29.3","-10.4","2.6","11.2","10.5","3.1","2.9","1.8","4.8","5.5","11.1","5.9","9.6","9.4","12.3","2.3","-3.8","6.3","7.0","6.2","3.2","-"
"Hong Kong","3.8","5.7","6.2","6.2","6.0","2.4","4.3","5.1","-5.9","2.5","7.7","0.6","1.7","3.1","8.7","7.4","7.0","6.5","2.1","-2.5","6.8","4.8","1.5","2.9","-"
"India","5.5","1.1","5.5","4.8","6.7","7.6","7.5","4.0","6.2","8.8","3.8","4.8","3.8","7.9","7.9","9.3","9.3","9.8","3.9","8.5","10.3","6.6","4.7","5.0","-"
"Indonesia","9.0","8.9","7.2","7.3","7.5","8.4","7.6","4.7","-13.1","0.8","4.9","3.6","4.5","4.8","5.0","5.7","5.5","6.3","6.0","4.6","6.2","6.5","6.3","5.8","-"
"Iran","13.7","12.6","4.3","-1.6","-0.4","2.7","7.1","3.4","2.7","1.9","5.1","3.7","7.5","7.1","5.1","4.6","5.9","7.8","0.6","3.9","5.9","3.0","3.0","-5.8","-"
"Iraq","-","-","-","-","-","-","-","-","-","-","-","2.3","-6.9","-33.1","54.2","4.4","10.2","1.4","6.6","5.8","6.9","9.7","9.2","4.0","-"
"Israel","6.8","7.7","5.6","5.6","6.9","6.5","5.5","3.4","4.1","3.4","9.3","-0.2","-0.6","1.5","4.8","4.9","5.6","6.9","4.5","1.2","5.7","4.6","3.4","3.3","-"
"Japan","5.6","3.3","0.8","0.2","0.9","1.9","2.6","1.6","-2.0","-0.2","2.3","0.4","0.3","1.7","2.4","1.3","1.7","2.2","-1.0","-5.5","4.7","-0.5","1.4","1.5","-"
