Loan Number,Country,Interest Rate,Currency of Commitment,Project ID,Original Principal Amount,Cancelled Amount,Disbursed Amount,Repaid to IBRD,Sold 3rd Party,First Repayment Date,Last Repayment Date
IBRD00010,France,4.25,USD,P037383,"$250,000,000.00 ",$0.00 ,"$250,000,000.00 ","$38,000.00 ","$249,962,000.00 ",11/01/1952,05/01/1977
IBRD00020,Netherlands,4.25,USD,P037452,"$191,044,211.75 ",$0.00 ,"$191,044,211.75 ","$103,372,211.75 ","$87,672,000.00 ",04/01/1952,10/01/1972
IBRD00021,Netherlands,4.25,USD,P037452,"$3,955,788.25 ",$0.00 ,"$3,955,788.25 ",$0.00 ,"$3,955,788.25 ",04/01/1953,04/01/1954
IBRD00030,Denmark,4.25,USD,P037362,"$40,000,000.00 ",$0.00 ,"$40,000,000.00 ","$17,771,000.00 ","$22,229,000.00 ",02/01/1953,08/01/1972
IBRD00040,Luxembourg,4.25,USD,P037451,"$12,000,000.00 ","$238,016.98 ","$11,761,983.02 ","$1,619,983.02 ","$10,142,000.00 ",07/15/1949,07/15/1972
IBRD00050,Chile,4.5,USD,P006578,"$13,500,000.00 ",$0.00 ,"$13,500,000.00 ","$12,167,000.00 ","$1,333,000.00 ",07/01/1953,07/01/1968
IBRD00060,Chile,3.75,USD,P006577,"$2,500,000.00 ",$0.00 ,"$2,500,000.00 ","$755,000.00 ","$1,745,000.00 ",07/01/1950,01/01/1955
IBRD00070,Netherlands,3.56,USD,P037453,"$2,000,000.00 ",$0.00 ,"$2,000,000.00 ",$0.00 ,"$2,000,000.00 ",01/15/1949,07/15/1958
IBRD00071,Netherlands,3.56,USD,P037453,"$2,000,000.00 ",$0.00 ,"$2,000,000.00 ",$0.00 ,"$2,000,000.00 ",01/15/1949,07/15/1958
IBRD00080,Netherlands,3.56,USD,P037454,"$2,000,000.00 ",$0.00 ,"$2,000,000.00 ",$0.00 ,"$2,000,000.00 ",01/15/1949,07/15/1958
IBRD00090,Netherlands,3.56,USD,P037455,"$2,000,000.00 ",$0.00 ,"$2,000,000.00 ",$0.00 ,"$2,000,000.00 ",01/15/1949,07/15/1958
IBRD00100,Netherlands,3.56,USD,P037456,"$2,000,000.00 ",$0.00 ,"$2,000,000.00 ",$0.00 ,"$2,000,000.00 ",01/15/1949,07/15/1958
IBRD00101,Netherlands,3.56,USD,P037456,"$2,000,000.00 ",$0.00 ,"$2,000,000.00 ",$0.00 ,"$2,000,000.00 ",01/15/1949,07/15/1958
IBRD00111,Brazil,4.5,USD,P006214,"$75,000,000.00 ",$0.00 ,"$75,000,000.00 ","$70,971,588.97 ","$4,028,411.03 ",07/01/1953,01/01/1974
IBRD00112,Brazil,4.25,USD,P006214,"$15,000,000.00 ",$0.00 ,"$15,000,000.00 ","$15,000,000.00 ",$0.00 ,07/01/1955,01/01/1976
IBRD00120,Mexico,4.5,USD,P007497,"$24,100,000.00 ",$0.00 ,"$24,100,000.00 ","$20,131,700.00 ","$3,968,300.00 ",02/01/1953,08/01/1973
IBRD00130,Mexico,4.5,USD,P007498,"$10,000,000.00 ","$10,000,000.00 ",$0.00 ,$0.00 ,$0.00 ,01/01/1951,01/01/1951
IBRD00140,Belgium,4.25,USD,P037358,"$16,000,000.00 ",$0.00 ,"$16,000,000.00 ",$0.00 ,"$16,000,000.00 ",09/01/1953,03/01/1969
IBRD00150,Netherlands,4,USD,P037457,"$15,000,000.00 ","$7,548,015.28 ","$7,451,984.72 ","$1,025,088.71 ","$6,426,896.01 ",12/01/1952,06/01/1964
IBRD00160,Finland,4,USD,P037366,"$12,500,000.00 ",$0.00 ,"$12,500,000.00 ","$6,747,990.11 ","$5,752,009.89 ",02/01/1953,08/01/1964
IBRD00170,India,4,USD,P009588,"$34,000,000.00 ","$1,200,000.00 ","$32,800,000.00 ","$15,056,370.48 ","$17,743,629.52 ",08/15/1950,08/15/1964
IBRD00180,Colombia,3.5,USD,P006682,"$5,000,000.00 ","$74,559.16 ","$4,925,440.84 ","$2,925,440.84 ","$2,000,000.00 ",05/15/1952,11/15/1956
IBRD00190,India,3.5,USD,P009586,"$10,000,000.00 ","$2,796,186.73 ","$7,203,813.27 ","$2,263,000.00 ","$4,940,813.27 ",06/01/1952,12/01/1956
IBRD00200,"Yugoslavia, former",3,USD,P009133,"$2,700,000.00 ",$0.00 ,"$2,700,000.00 ","$2,700,000.00 ",$0.00 ,06/15/1950,09/15/1951
IBRD00210,Finland,3,USD,P037365,"$2,300,000.00 ","$197,868.90 ","$2,102,131.10 ","$2,102,131.10 ",$0.00 ,06/15/1950,09/15/1951
IBRD00220,El Salvador,4.25,USD,P007137,"$12,545,000.00 ",$0.00 ,"$12,545,000.00 ","$11,545,000.00 ","$1,000,000.00 ",07/15/1954,01/15/1975
IBRD00230,India,4,USD,P009587,"$18,500,000.00 ","$1,779,500.00 ","$16,720,500.00 ","$10,851,500.00 ","$5,869,000.00 ",04/15/1955,04/15/1970
IBRD00240,Mexico,4.5,USD,P007499,"$26,000,000.00 ",$0.00 ,"$26,000,000.00 ","$21,974,000.00 ","$4,026,000.00 ",08/01/1953,02/01/1975
IBRD00250,Brazil,4.25,USD,P006215,"$15,000,000.00 ",$0.00 ,"$15,000,000.00 ","$15,000,000.00 ",$0.00 ,09/15/1954,03/15/1975
IBRD00260,Iraq,3.75,USD,P005231,"$12,800,000.00 ","$6,506,053.54 ","$6,293,946.46 ","$6,293,946.46 ",$0.00 ,04/01/1956,10/01/1965
IBRD00270,Turkey,3.88,USD,P008872,"$3,900,000.00 ",$0.00 ,"$3,900,000.00 ","$3,756,000.00 ","$144,000.00 ",04/01/1954,10/01/1968
IBRD00281,Turkey,4.25,USD,P008874,"$12,500,000.00 ",$0.00 ,"$12,500,000.00 ","$12,500,000.00 ",$0.00 ,04/01/1956,10/01/1975
IBRD00282,Turkey,4.88,USD,P008874,"$3,800,000.00 ","$2,149.66 ","$3,797,850.34 ","$3,797,850.34 ",$0.00 ,04/01/1956,10/01/1975
IBRD00290,Australia,4.25,USD,P037342,"$100,000,000.00 ",$0.00 ,"$100,000,000.00 ","$47,617,254.60 ","$52,382,745.40 ",09/01/1955,09/01/1975
IBRD00300,Uruguay,4.25,USD,P008109,"$33,000,000.00 ",$0.00 ,"$33,000,000.00 ","$30,850,000.00 ","$2,150,000.00 ",02/15/1955,08/15/1974
IBRD00310,Ethiopia,4,USD,P000659,"$5,000,000.00 ",$0.00 ,"$5,000,000.00 ","$5,000,000.00 ",$0.00 ,03/01/1956,03/01/1971
